OverTime_1_1_0.5	OverTime_53_4_0.5
MonthlyRate_5_5_23807.5	MonthlyRate_54_5_4447.0
MonthlyRate_5_5_23807.5	MonthlyRate_64_5_2759.5
MonthlyRate_54_5_4447.0	MonthlyRate_64_5_2759.5
NumCompaniesWorked_9_4_4.5	NumCompaniesWorked_35_4_0.5
YearsWithCurrManager_10_5_4.5	YearsWithCurrManager_16_3_7.5
YearsWithCurrManager_10_5_4.5	YearsWithCurrManager_44_4_2.5
YearsWithCurrManager_16_3_7.5	YearsWithCurrManager_44_4_2.5
YearsSinceLastPromotion_13_5_0.5	YearsSinceLastPromotion_32_5_4.5
YearsSinceLastPromotion_13_5_0.5	YearsSinceLastPromotion_67_5_0.5
YearsSinceLastPromotion_32_5_4.5	YearsSinceLastPromotion_67_5_0.5
Age_18_5_46.0	Age_60_2_22.5
Age_18_5_46.0	Age_70_4_55.5
Age_60_2_22.5	Age_70_4_55.5
MonthlyIncome_21_5_5153.5	MonthlyIncome_40_1_2464.5
JobInvolvement_25_2_1.5	JobInvolvement_45_5_2.5
EnvironmentSatisfaction_36_5_3.5	EnvironmentSatisfaction_57_5_2.5
JobRole_48_5_1.5	JobRole_63_4_7.5
DistanceFromHome_51_3_6.5	DistanceFromHome_62_3_13.5
