MaritalStatus_0_0_1.5	MaritalStatus_10_5_0.5
MonthlyIncome_2_2_10496.0	MonthlyIncome_18_3_4780.5
MonthlyIncome_2_2_10496.0	MonthlyIncome_20_5_2785.0
MonthlyIncome_2_2_10496.0	MonthlyIncome_39_5_19773.0
MonthlyIncome_18_3_4780.5	MonthlyIncome_20_5_2785.0
MonthlyIncome_18_3_4780.5	MonthlyIncome_39_5_19773.0
MonthlyIncome_20_5_2785.0	MonthlyIncome_39_5_19773.0
DailyRate_4_4_366.5	DailyRate_13_5_1482.5
DailyRate_4_4_366.5	DailyRate_30_4_743.0
DailyRate_4_4_366.5	DailyRate_44_3_1026.0
DailyRate_4_4_366.5	DailyRate_57_4_489.0
DailyRate_4_4_366.5	DailyRate_62_4_1243.5
DailyRate_4_4_366.5	DailyRate_63_5_166.0
DailyRate_13_5_1482.5	DailyRate_30_4_743.0
DailyRate_13_5_1482.5	DailyRate_44_3_1026.0
DailyRate_13_5_1482.5	DailyRate_57_4_489.0
DailyRate_13_5_1482.5	DailyRate_62_4_1243.5
DailyRate_13_5_1482.5	DailyRate_63_5_166.0
DailyRate_30_4_743.0	DailyRate_44_3_1026.0
DailyRate_30_4_743.0	DailyRate_57_4_489.0
DailyRate_30_4_743.0	DailyRate_62_4_1243.5
DailyRate_30_4_743.0	DailyRate_63_5_166.0
DailyRate_44_3_1026.0	DailyRate_57_4_489.0
DailyRate_44_3_1026.0	DailyRate_62_4_1243.5
DailyRate_44_3_1026.0	DailyRate_63_5_166.0
DailyRate_57_4_489.0	DailyRate_62_4_1243.5
DailyRate_57_4_489.0	DailyRate_63_5_166.0
DailyRate_62_4_1243.5	DailyRate_63_5_166.0
NumCompaniesWorked_6_5_3.5	NumCompaniesWorked_60_2_5.5
NumCompaniesWorked_6_5_3.5	NumCompaniesWorked_76_5_7.5
NumCompaniesWorked_60_2_5.5	NumCompaniesWorked_76_5_7.5
RelationshipSatisfaction_9_4_3.5	RelationshipSatisfaction_75_4_1.5
TrainingTimesLastYear_19_4_2.5	TrainingTimesLastYear_74_3_5.0
Age_23_5_31.5	Age_46_4_22.5
PercentSalaryHike_29_3_14.5	PercentSalaryHike_82_4_17.5
HourlyRate_31_5_78.5	HourlyRate_67_4_69.5
YearsInCurrentRole_35_4_7.5	YearsInCurrentRole_49_3_14.5
YearsInCurrentRole_35_4_7.5	YearsInCurrentRole_71_5_0.5
YearsInCurrentRole_49_3_14.5	YearsInCurrentRole_71_5_0.5
DistanceFromHome_36_5_2.5	DistanceFromHome_51_5_6.5
JobSatisfaction_50_4_1.5	JobSatisfaction_61_3_1.5
