MonthlyIncome_0_0_2439.5	MonthlyIncome_41_3_2611.5
MonthlyRate_1_1_3863.0	MonthlyRate_4_3_2976.0
MonthlyRate_1_1_3863.0	MonthlyRate_63_4_23898.0
MonthlyRate_4_3_2976.0	MonthlyRate_63_4_23898.0
DailyRate_2_2_1060.0	DailyRate_15_5_827.0
DailyRate_2_2_1060.0	DailyRate_22_5_531.5
DailyRate_15_5_827.0	DailyRate_22_5_531.5
EnvironmentSatisfaction_10_3_3.5	EnvironmentSatisfaction_25_3_2.5
EnvironmentSatisfaction_10_3_3.5	EnvironmentSatisfaction_42_4_2.5
EnvironmentSatisfaction_10_3_3.5	EnvironmentSatisfaction_47_4_2.5
EnvironmentSatisfaction_25_3_2.5	EnvironmentSatisfaction_42_4_2.5
EnvironmentSatisfaction_25_3_2.5	EnvironmentSatisfaction_47_4_2.5
EnvironmentSatisfaction_42_4_2.5	EnvironmentSatisfaction_47_4_2.5
YearsAtCompany_11_4_4.5	YearsAtCompany_64_5_12.5
HourlyRate_12_5_52.5	HourlyRate_60_5_82.5
DistanceFromHome_18_4_15.0	DistanceFromHome_56_4_3.5
WorkLifeBalance_27_4_1.5	WorkLifeBalance_70_5_1.5
OverTime_29_5_0.5	OverTime_69_4_0.5
Gender_34_3_0.5	Gender_51_5_0.5
YearsInCurrentRole_36_4_0.5	YearsInCurrentRole_57_5_1.0
StockOptionLevel_37_5_0.5	StockOptionLevel_48_5_2.5
PercentSalaryHike_44_5_19.0	PercentSalaryHike_73_5_21.5
