YearsInCurrentRole_0_0_1.5	YearsInCurrentRole_70_3_2.5
OverTime_1_1_0.5	OverTime_57_5_0.5
RelationshipSatisfaction_4_3_1.5	RelationshipSatisfaction_40_3_1.5
EnvironmentSatisfaction_5_4_1.5	EnvironmentSatisfaction_66_5_3.5
MonthlyRate_6_5_5713.5	MonthlyRate_27_5_13730.0
MonthlyRate_6_5_5713.5	MonthlyRate_76_4_2349.5
MonthlyRate_27_5_13730.0	MonthlyRate_76_4_2349.5
Education_9_5_3.5	Education_22_4_4.5
Education_9_5_3.5	Education_25_3_3.5
Education_9_5_3.5	Education_71_4_2.5
Education_22_4_4.5	Education_25_3_3.5
Education_22_4_4.5	Education_71_4_2.5
Education_25_3_3.5	Education_71_4_2.5
JobRole_12_4_6.5	JobRole_61_3_1.5
Age_13_5_31.5	Age_19_2_33.5
Age_13_5_31.5	Age_65_4_31.5
Age_19_2_33.5	Age_65_4_31.5
StockOptionLevel_16_5_0.5	StockOptionLevel_38_1_0.5
DailyRate_30_5_1058.5	DailyRate_35_5_689.0
DailyRate_30_5_1058.5	DailyRate_41_4_1314.0
DailyRate_30_5_1058.5	DailyRate_80_5_574.5
DailyRate_35_5_689.0	DailyRate_41_4_1314.0
DailyRate_35_5_689.0	DailyRate_80_5_574.5
DailyRate_41_4_1314.0	DailyRate_80_5_574.5
Department_33_4_1.5	Department_39_2_1.5
TrainingTimesLastYear_46_4_0.5	TrainingTimesLastYear_55_4_0.5
YearsAtCompany_50_5_10.5	YearsAtCompany_60_2_3.5
