TotalWorkingYears_0_0_2.5	TotalWorkingYears_11_3_1.5
MaritalStatus_3_2_1.5	MaritalStatus_42_2_1.5
RelationshipSatisfaction_4_3_1.5	RelationshipSatisfaction_31_3_3.5
JobSatisfaction_8_5_1.5	JobSatisfaction_23_2_1.5
DailyRate_14_5_319.5	DailyRate_17_4_577.0
DailyRate_14_5_319.5	DailyRate_43_3_1495.5
DailyRate_14_5_319.5	DailyRate_61_5_979.5
DailyRate_17_4_577.0	DailyRate_43_3_1495.5
DailyRate_17_4_577.0	DailyRate_61_5_979.5
DailyRate_43_3_1495.5	DailyRate_61_5_979.5
Department_18_5_1.5	Department_25_4_0.5
Department_18_5_1.5	Department_45_5_1.5
Department_25_4_0.5	Department_45_5_1.5
MonthlyIncome_22_1_2437.5	MonthlyIncome_48_5_19853.0
MonthlyIncome_22_1_2437.5	MonthlyIncome_60_4_11362.0
MonthlyIncome_48_5_19853.0	MonthlyIncome_60_4_11362.0
Education_27_5_1.5	Education_32_4_3.5
OverTime_33_5_0.5	OverTime_44_4_0.5
