NumCompaniesWorked_0_0_4.5	NumCompaniesWorked_2_2_2.5
YearsWithCurrManager_1_1_0.5	YearsWithCurrManager_39_5_4.5
YearsWithCurrManager_1_1_0.5	YearsWithCurrManager_64_4_1.5
YearsWithCurrManager_39_5_4.5	YearsWithCurrManager_64_4_1.5
YearsAtCompany_3_3_3.0	YearsAtCompany_27_5_3.5
Department_4_4_1.5	Department_51_2_1.5
DailyRate_8_5_1111.5	DailyRate_45_4_134.5
EducationField_14_3_4.5	EducationField_54_5_4.0
MonthlyIncome_17_5_2138.5	MonthlyIncome_66_5_5150.5
RelationshipSatisfaction_21_2_1.5	RelationshipSatisfaction_72_4_3.5
OverTime_22_3_0.5	OverTime_63_3_0.5
OverTime_22_3_0.5	OverTime_73_5_0.5
OverTime_63_3_0.5	OverTime_73_5_0.5
MonthlyRate_23_4_22114.0	MonthlyRate_34_5_7782.0
MonthlyRate_23_4_22114.0	MonthlyRate_37_3_22069.5
MonthlyRate_34_5_7782.0	MonthlyRate_37_3_22069.5
JobRole_24_5_7.5	JobRole_38_4_7.5
JobRole_24_5_7.5	JobRole_79_4_4.5
JobRole_38_4_7.5	JobRole_79_4_4.5
YearsSinceLastPromotion_31_5_6.5	YearsSinceLastPromotion_42_5_0.5
StockOptionLevel_50_1_0.5	StockOptionLevel_71_3_2.5
JobLevel_70_2_4.5	JobLevel_81_5_1.5
