JobRole_0_0_5.5	JobRole_21_4_4.5
MonthlyIncome_1_1_2982.0	MonthlyIncome_52_5_2298.0
MonthlyIncome_1_1_2982.0	MonthlyIncome_55_5_9129.0
MonthlyIncome_52_5_2298.0	MonthlyIncome_55_5_9129.0
DailyRate_2_2_138.5	DailyRate_39_5_376.5
DailyRate_2_2_138.5	DailyRate_60_4_445.5
DailyRate_2_2_138.5	DailyRate_74_4_1492.0
DailyRate_39_5_376.5	DailyRate_60_4_445.5
DailyRate_39_5_376.5	DailyRate_74_4_1492.0
DailyRate_60_4_445.5	DailyRate_74_4_1492.0
YearsWithCurrManager_4_3_0.5	YearsWithCurrManager_36_3_0.5
Age_5_4_29.5	Age_59_3_27.0
Age_5_4_29.5	Age_69_4_29.5
Age_59_3_27.0	Age_69_4_29.5
MonthlyRate_6_5_24882.0	MonthlyRate_26_4_2381.5
TrainingTimesLastYear_12_4_3.5	TrainingTimesLastYear_30_5_0.5
TrainingTimesLastYear_12_4_3.5	TrainingTimesLastYear_37_4_1.5
TrainingTimesLastYear_30_5_0.5	TrainingTimesLastYear_37_4_1.5
EnvironmentSatisfaction_13_5_1.5	EnvironmentSatisfaction_20_3_1.5
EnvironmentSatisfaction_13_5_1.5	EnvironmentSatisfaction_44_4_1.5
EnvironmentSatisfaction_20_3_1.5	EnvironmentSatisfaction_44_4_1.5
PercentSalaryHike_22_5_11.5	PercentSalaryHike_51_4_14.5
PercentSalaryHike_22_5_11.5	PercentSalaryHike_75_5_12.5
PercentSalaryHike_51_4_14.5	PercentSalaryHike_75_5_12.5
YearsInCurrentRole_35_2_0.5	YearsInCurrentRole_58_2_1.5
HourlyRate_45_5_89.5	HourlyRate_63_4_98.0
HourlyRate_45_5_89.5	HourlyRate_68_3_63.5
HourlyRate_63_4_98.0	HourlyRate_68_3_63.5
