MonthlyRate_3_3_18537.5	MonthlyRate_33_3_14054.5
JobRole_4_4_0.5	JobRole_10_5_7.5
JobRole_4_4_0.5	JobRole_35_5_7.5
JobRole_4_4_0.5	JobRole_50_3_1.0
JobRole_10_5_7.5	JobRole_35_5_7.5
JobRole_10_5_7.5	JobRole_50_3_1.0
JobRole_35_5_7.5	JobRole_50_3_1.0
RelationshipSatisfaction_6_5_1.5	RelationshipSatisfaction_82_4_2.5
Education_9_4_4.5	Education_42_5_3.5
Education_9_4_4.5	Education_49_2_3.5
Education_42_5_3.5	Education_49_2_3.5
DistanceFromHome_14_3_14.0	DistanceFromHome_52_4_6.5
TotalWorkingYears_20_4_12.5	TotalWorkingYears_28_5_9.0
MaritalStatus_21_5_0.5	MaritalStatus_25_2_0.5
MaritalStatus_21_5_0.5	MaritalStatus_62_2_1.5
MaritalStatus_25_2_0.5	MaritalStatus_62_2_1.5
MonthlyIncome_26_3_3445.0	MonthlyIncome_57_3_2881.0
MonthlyIncome_26_3_3445.0	MonthlyIncome_64_4_3860.0
MonthlyIncome_26_3_3445.0	MonthlyIncome_72_5_2547.5
MonthlyIncome_57_3_2881.0	MonthlyIncome_64_4_3860.0
MonthlyIncome_57_3_2881.0	MonthlyIncome_72_5_2547.5
MonthlyIncome_64_4_3860.0	MonthlyIncome_72_5_2547.5
JobInvolvement_27_4_1.5	JobInvolvement_41_4_1.5
JobSatisfaction_34_4_1.5	JobSatisfaction_63_3_3.5
JobSatisfaction_34_4_1.5	JobSatisfaction_68_5_1.5
JobSatisfaction_63_3_3.5	JobSatisfaction_68_5_1.5
EnvironmentSatisfaction_38_5_3.5	EnvironmentSatisfaction_45_5_2.5
