StockOptionLevel_0_0_0.5	StockOptionLevel_88_5_2.0
YearsWithCurrManager_1_1_0.5	YearsWithCurrManager_45_5_2.5
OverTime_2_2_0.5	OverTime_29_2_0.5
OverTime_2_2_0.5	OverTime_56_1_0.5
OverTime_29_2_0.5	OverTime_56_1_0.5
NumCompaniesWorked_3_3_2.5	NumCompaniesWorked_15_5_6.5
NumCompaniesWorked_3_3_2.5	NumCompaniesWorked_84_4_8.5
NumCompaniesWorked_15_5_6.5	NumCompaniesWorked_84_4_8.5
EducationField_4_4_2.0	EducationField_59_4_4.5
EducationField_4_4_2.0	EducationField_66_4_4.0
EducationField_4_4_2.0	EducationField_72_5_0.5
EducationField_4_4_2.0	EducationField_83_3_3.5
EducationField_4_4_2.0	EducationField_85_5_2.0
EducationField_59_4_4.5	EducationField_66_4_4.0
EducationField_59_4_4.5	EducationField_72_5_0.5
EducationField_59_4_4.5	EducationField_83_3_3.5
EducationField_59_4_4.5	EducationField_85_5_2.0
EducationField_66_4_4.0	EducationField_72_5_0.5
EducationField_66_4_4.0	EducationField_83_3_3.5
EducationField_66_4_4.0	EducationField_85_5_2.0
EducationField_72_5_0.5	EducationField_83_3_3.5
EducationField_72_5_0.5	EducationField_85_5_2.0
EducationField_83_3_3.5	EducationField_85_5_2.0
EnvironmentSatisfaction_8_5_2.5	EnvironmentSatisfaction_60_5_1.5
TotalWorkingYears_12_5_4.0	TotalWorkingYears_21_5_15.5
TotalWorkingYears_12_5_4.0	TotalWorkingYears_24_4_12.5
TotalWorkingYears_12_5_4.0	TotalWorkingYears_58_3_18.5
TotalWorkingYears_12_5_4.0	TotalWorkingYears_93_4_5.5
TotalWorkingYears_21_5_15.5	TotalWorkingYears_24_4_12.5
TotalWorkingYears_21_5_15.5	TotalWorkingYears_58_3_18.5
TotalWorkingYears_21_5_15.5	TotalWorkingYears_93_4_5.5
TotalWorkingYears_24_4_12.5	TotalWorkingYears_58_3_18.5
TotalWorkingYears_24_4_12.5	TotalWorkingYears_93_4_5.5
TotalWorkingYears_58_3_18.5	TotalWorkingYears_93_4_5.5
HourlyRate_18_3_61.0	HourlyRate_30_3_98.0
Department_19_4_1.5	Department_43_3_1.5
DailyRate_26_5_1038.0	DailyRate_52_5_227.0
DailyRate_26_5_1038.0	DailyRate_92_3_988.5
DailyRate_52_5_227.0	DailyRate_92_3_988.5
MonthlyIncome_32_5_2069.0	MonthlyIncome_75_4_19632.0
TrainingTimesLastYear_38_4_3.5	TrainingTimesLastYear_69_3_0.5
Education_48_5_2.5	Education_79_5_2.5
JobSatisfaction_70_4_3.5	JobSatisfaction_95_5_1.5
